Field	Red Robot	Yellow Robot	Ball
(373.8355407714844, 307.1457214355469)	(539.2719116210938, 208.22625732421875)	(219.03036499023438, 103.70632934570312)	(580.4937744140625, 86.04484558105469)
(373.50592041015625, 301.9679260253906)	(182.09237670898438, 111.14984130859375)	(611.1051025390625, 102.37425231933594)	(630.5400390625, 5.975558280944824)
(373.05975341796875, 296.2781982421875)	(142.4462127685547, 213.51251220703125)	(228.5227813720703, 213.61993408203125)	(189.3287353515625, 87.21083068847656)
(372.61083984375, 289.736572265625)	(539.297607421875, 207.9325714111328)	(218.75697326660156, 104.28457641601562)	(580.1932373046875, 85.60824584960938)
(372.9589538574219, 284.5360107421875)	(182.3164520263672, 111.611328125)	(610.9175415039062, 102.74725341796875)	(189.46995544433594, 87.18135070800781)
(374.0826721191406, 274.4819030761719)	(142.3883819580078, 213.40879821777344)	(228.55409240722656, 214.11724853515625)	(579.8023071289062, 85.62477111816406)
(375.0828552246094, 267.477783203125)	(539.4769287109375, 207.51556396484375)	(218.25787353515625, 105.08470916748047)	(190.19496154785156, 87.31791687011719)
(374.65985107421875, 265.89776611328125)	(182.41712951660156, 112.68799591064453)	(610.44091796875, 103.76795196533203)	(579.6701049804688, 85.58627319335938)
(373.6656494140625, 262.5185546875)	(142.57763671875, 212.71612548828125)	(228.58773803710938, 214.46588134765625)	(189.80316162109375, 86.79547119140625)
(374.05224609375, 259.6197204589844)	(539.62841796875, 207.65623474121094)	(218.11195373535156, 106.20358276367188)	(579.895263671875, 85.4356460571289)
(373.9942932128906, 257.17156982421875)	(182.57342529296875, 114.00868225097656)	(610.6959838867188, 105.77252197265625)	(190.22434997558594, 86.70381927490234)
(374.589599609375, 255.50421142578125)	(142.84133911132812, 212.56124877929688)	(228.4820556640625, 217.30413818359375)	(579.5656127929688, 84.85298919677734)
(374.5697937011719, 253.6964111328125)	(539.4791870117188, 208.47250366210938)	(217.96176147460938, 106.24322509765625)	(190.06271362304688, 86.59552001953125)
(374.09295654296875, 251.09571838378906)	(182.611083984375, 114.7260513305664)	(610.21728515625, 105.96171569824219)	(578.4696655273438, 84.8223876953125)
(373.5389709472656, 249.31459045410156)	(142.2915496826172, 213.72567749023438)	(228.66702270507812, 217.2103729248047)	(189.9444580078125, 86.44645690917969)
(373.52252197265625, 247.8042755126953)	(539.3922119140625, 209.32952880859375)	(217.895751953125, 105.88172912597656)	(577.9700927734375, 83.97611236572266)
(373.541748046875, 248.11744689941406)	(182.83346557617188, 115.44660186767578)	(608.7091064453125, 106.39510345458984)	(190.01185607910156, 86.73697662353516)
(373.37103271484375, 246.38755798339844)	(141.897216796875, 214.81280517578125)	(228.727783203125, 214.9450225830078)	(577.8182373046875, 84.06794738769531)
(373.17877197265625, 245.84632873535156)	(539.408447265625, 211.1173858642578)	(217.80886840820312, 105.51399230957031)	(189.34596252441406, 86.86842346191406)
(373.377685546875, 245.12571716308594)	(182.92105102539062, 116.70925903320312)	(608.8052978515625, 105.90292358398438)	(578.906005859375, 83.75228881835938)
(372.9527587890625, 244.7177276611328)	(141.18212890625, 215.86643981933594)	(229.02284240722656, 212.25332641601562)	(188.9951934814453, 86.91432189941406)
(370.896240234375, 242.310302734375)	(539.377685546875, 211.3639373779297)	(218.2141876220703, 104.95088958740234)	(579.7012939453125, 83.5704574584961)
(372.05975341796875, 242.76351928710938)	(182.8658447265625, 116.6736068725586)	(608.991455078125, 105.08307647705078)	(188.0220489501953, 87.05783081054688)
(372.44683837890625, 242.59054565429688)	(140.71087646484375, 215.4817657470703)	(229.2781982421875, 209.9359893798828)	(579.48681640625, 83.47486114501953)
(370.9043884277344, 241.0226287841797)	(539.2357177734375, 212.00697326660156)	(218.439453125, 104.71520233154297)	(188.32376098632812, 86.10962677001953)
(370.59002685546875, 240.0475616455078)	(183.0462646484375, 116.48567962646484)	(609.7577514648438, 104.2829818725586)	(580.5643310546875, 82.85038757324219)
(370.521728515625, 239.88986206054688)	(140.36398315429688, 215.35044860839844)	(229.15151977539062, 208.1897430419922)	(187.693359375, 86.11487579345703)
(370.4752502441406, 239.65972900390625)	(538.8570556640625, 212.79183959960938)	(218.85157775878906, 104.47210693359375)	(580.767822265625, 82.37566375732422)
(373.505615234375, 239.92364501953125)	(183.20303344726562, 116.12894439697266)	(609.9752807617188, 103.56226348876953)	(187.62493896484375, 85.60637664794922)
(374.79241943359375, 239.8253631591797)	(142.98583984375, 238.2322235107422)	(228.95594787597656, 207.14353942871094)	(580.734375, 82.25749206542969)
(375.23956298828125, 240.0132293701172)	(538.8307495117188, 213.56170654296875)	(219.13563537597656, 104.08087158203125)	(188.12620544433594, 85.01541900634766)
(375.2782287597656, 239.80303955078125)	(183.24293518066406, 115.90656280517578)	(609.6766357421875, 102.8145751953125)	(579.0772094726562, 82.28297424316406)
(375.16302490234375, 240.0430450439453)	(143.82139587402344, 247.1713409423828)	(228.6800994873047, 205.72811889648438)	(187.8988800048828, 85.0436019897461)
(375.24530029296875, 240.17442321777344)	(538.5769653320312, 213.52223205566406)	(219.33705139160156, 103.6688461303711)	(578.330810546875, 82.49102020263672)
(372.9706115722656, 240.05404663085938)	(183.1077117919922, 115.4673843383789)	(609.060791015625, 102.32001495361328)	(384.2078857421875, 371.5527648925781)
(371.9248352050781, 240.2538299560547)	(141.0475311279297, 227.88919067382812)	(228.2474365234375, 204.17921447753906)	(183.91412353515625, 85.12126922607422)
(371.87713623046875, 240.54469299316406)	(538.2787475585938, 213.06410217285156)	(219.643798828125, 103.68075561523438)	(579.07763671875, 81.88358306884766)
(371.6795349121094, 241.3844451904297)	(182.75038146972656, 115.22282409667969)	(609.5301513671875, 102.0977554321289)	(385.9095153808594, 373.87274169921875)
(371.1372985839844, 242.18687438964844)	(139.96923828125, 220.88851928710938)	(228.3223114013672, 203.19052124023438)	(182.3006134033203, 84.23431396484375)
(370.7768859863281, 242.82423400878906)	(537.87060546875, 212.41751098632812)	(219.91036987304688, 103.47978973388672)	(576.824462890625, 81.404052734375)
(371.1369934082031, 243.177734375)	(182.62762451171875, 114.69346618652344)	(610.3525390625, 102.2410659790039)	(385.5782470703125, 374.70880126953125)
(370.7696533203125, 243.90281677246094)	(139.29473876953125, 218.0311737060547)	(228.7466583251953, 202.1467742919922)	(181.70767211914062, 82.82429504394531)
(372.18280029296875, 246.15322875976562)	(537.57177734375, 211.60923767089844)	(220.16139221191406, 103.72348022460938)	(576.5650634765625, 80.12842559814453)
(372.62677001953125, 247.29165649414062)	(182.5928497314453, 114.66696166992188)	(610.65966796875, 103.28068542480469)	(383.4863586425781, 374.32177734375)
(372.6188659667969, 247.88197326660156)	(138.86204528808594, 216.86343383789062)	(229.05471801757812, 201.81825256347656)	(181.5571746826172, 83.18501281738281)
(372.51318359375, 248.53794860839844)	(537.3634033203125, 209.6767120361328)	(220.07725524902344, 103.84422302246094)	(575.71728515625, 80.62234497070312)
(372.65252685546875, 249.72525024414062)	(182.50624084472656, 114.54940795898438)	(610.6863403320312, 102.77078247070312)	(382.93572998046875, 374.88397216796875)
(372.5662841796875, 250.2290802001953)	(138.650146484375, 215.5088348388672)	(229.13377380371094, 202.11155700683594)	(181.70518493652344, 81.34171295166016)
(372.4674987792969, 251.6820068359375)	(536.33349609375, 208.17630004882812)	(220.0326690673828, 103.85187530517578)	(577.3626708984375, 79.80470275878906)
(373.2318420410156, 250.9640350341797)	(183.8539581298828, 114.69987487792969)	(610.6087036132812, 103.24691009521484)	(381.8878173828125, 373.502685546875)
(373.7156677246094, 250.74977111816406)	(137.77296447753906, 214.81593322753906)	(228.94021606445312, 201.47573852539062)	(180.5957489013672, 79.97384643554688)
(374.13629150390625, 251.03431701660156)	(534.5458374023438, 206.69473266601562)	(219.75416564941406, 103.81226348876953)	(578.8265991210938, 78.56377410888672)
(374.13800048828125, 251.89060974121094)	(184.37326049804688, 114.55431365966797)	(610.5863037109375, 102.8719253540039)	(381.1622314453125, 370.73779296875)
(374.161865234375, 252.62124633789062)	(137.0440216064453, 214.13629150390625)	(228.82406616210938, 201.85641479492188)	(181.90318298339844, 77.15309143066406)
(374.53253173828125, 253.51351928710938)	(533.69384765625, 205.5810089111328)	(219.503173828125, 104.05543518066406)	(579.1971435546875, 75.03776550292969)
(374.6744079589844, 254.21615600585938)	(184.6822509765625, 114.87915802001953)	(610.4114990234375, 102.00440979003906)	(380.89312744140625, 367.8583679199219)
(374.58966064453125, 254.76339721679688)	(136.3467559814453, 213.56234741210938)	(229.20523071289062, 201.20013427734375)	(179.90591430664062, 73.86093139648438)
(374.3409729003906, 255.37339782714844)	(532.489501953125, 204.69161987304688)	(219.28782653808594, 103.66715240478516)	(578.25341796875, 71.72818756103516)
(374.3857727050781, 255.71656799316406)	(183.10992431640625, 114.75811004638672)	(610.36669921875, 101.74087524414062)	(380.47998046875, 362.185302734375)
(374.552001953125, 255.99937438964844)	(135.8571014404297, 211.76278686523438)	(229.83822631835938, 200.966796875)	(179.3139190673828, 73.69416809082031)
(374.5428466796875, 256.07427978515625)	(532.1892700195312, 204.29286193847656)	(219.29147338867188, 103.54540252685547)	(578.1473999023438, 71.75700378417969)
(374.46722412109375, 256.0199279785156)	(182.81973266601562, 115.13005065917969)	(610.267578125, 101.60220336914062)	(380.73876953125, 361.92315673828125)
(374.4267883300781, 256.6590881347656)	(135.21389770507812, 211.5355682373047)	(230.439697265625, 200.7955322265625)	(179.2628173828125, 70.65767669677734)
(374.62530517578125, 256.9230651855469)	(531.7939453125, 203.9327850341797)	(219.10562133789062, 103.41366577148438)	(576.6401977539062, 69.83819580078125)
(374.92327880859375, 256.5194091796875)	(182.34596252441406, 115.44253540039062)	(609.9419555664062, 101.57470703125)	(380.17095947265625, 356.839599609375)
(374.97882080078125, 255.98883056640625)	(134.8372802734375, 210.65953063964844)	(230.47251892089844, 199.49655151367188)	(179.95663452148438, 67.03827667236328)
(373.6353454589844, 256.0455627441406)	(531.30126953125, 203.68692016601562)	(219.57241821289062, 103.68058776855469)	(180.33180236816406, 93.96314239501953)
(374.10028076171875, 256.51275634765625)	(182.48477172851562, 115.73387908935547)	(606.3109741210938, 101.60546112060547)	(575.8618774414062, 67.13013458251953)
(374.65069580078125, 256.324951171875)	(134.1389617919922, 209.75624084472656)	(230.39364624023438, 198.19358825683594)	(179.09881591796875, 64.47320556640625)
(375.14959716796875, 256.03497314453125)	(531.1405029296875, 203.7084503173828)	(218.8695068359375, 103.93516540527344)	(576.7833251953125, 63.260108947753906)
(374.3163146972656, 256.4722595214844)	(182.25450134277344, 116.25141143798828)	(608.5732421875, 102.7730712890625)	(379.9818115234375, 350.6382751464844)
(373.515625, 257.4935607910156)	(133.97366333007812, 209.88558959960938)	(230.7421875, 198.2769775390625)	(179.3083038330078, 62.321285247802734)
(373.1628112792969, 259.3516845703125)	(532.22265625, 204.58822631835938)	(218.3462677001953, 103.60237121582031)	(576.535888671875, 60.68598175048828)
(372.74627685546875, 260.8041687011719)	(182.21392822265625, 115.64154815673828)	(609.1390380859375, 101.88250732421875)	(379.8321533203125, 350.37030029296875)
(371.9388122558594, 261.9338073730469)	(133.47903442382812, 208.27850341796875)	(230.94842529296875, 198.15943908691406)	(177.74166870117188, 61.189697265625)
(371.3692626953125, 264.13006591796875)	(531.920654296875, 204.7786407470703)	(218.27317810058594, 103.66193389892578)	(576.84326171875, 59.38351058959961)
(371.3951416015625, 265.7766418457031)	(181.79225158691406, 115.72283172607422)	(609.34814453125, 101.72944641113281)	(379.1820983886719, 349.7067565917969)
(370.68829345703125, 267.3777160644531)	(133.3228302001953, 207.09039306640625)	(231.07843017578125, 198.17913818359375)	(177.25204467773438, 58.62734603881836)
(368.2612609863281, 273.8163757324219)	(531.1851806640625, 204.79196166992188)	(218.06373596191406, 102.7467041015625)	(575.553466796875, 56.52215576171875)
(367.1322021484375, 279.1007995605469)	(182.1055145263672, 115.24026489257812)	(609.372802734375, 101.03730773925781)	(378.4322509765625, 350.044921875)
(366.7301940917969, 279.51190185546875)	(132.69546508789062, 206.52496337890625)	(230.8321075439453, 197.25352478027344)	(178.8209991455078, 56.53137969970703)
(365.03790283203125, 287.0545349121094)	(530.326416015625, 204.19729614257812)	(217.71168518066406, 101.74930572509766)	(575.4727172851562, 54.22096633911133)
(364.17510986328125, 294.5293273925781)	(183.1534423828125, 114.99052429199219)	(608.6597900390625, 101.30036163330078)	(377.5013122558594, 344.5226135253906)
(365.3417663574219, 298.5218200683594)	(132.56704711914062, 221.1743927001953)	(231.12120056152344, 196.17633056640625)	(178.5997314453125, 54.24005889892578)
(365.2676086425781, 303.4920349121094)	(530.0966796875, 204.2128448486328)	(217.45040893554688, 100.0787582397461)	(575.74560546875, 52.39923858642578)
(365.62164306640625, 303.5834655761719)	(183.55038452148438, 114.99955749511719)	(608.9069213867188, 100.59667205810547)	(377.2156982421875, 339.4500427246094)
(364.9716491699219, 307.079345703125)	(132.92637634277344, 226.2943572998047)	(230.82852172851562, 193.6056671142578)	(178.01963806152344, 52.39237594604492)
(364.4521789550781, 309.4312744140625)	(529.525390625, 202.86781311035156)	(212.7427978515625, 99.7711410522461)	(575.3665161132812, 51.108821868896484)
(364.44378662109375, 311.26165771484375)	(182.8587188720703, 114.46192169189453)	(608.71875, 101.21958923339844)	(376.1900634765625, 336.1119384765625)
(364.32867431640625, 312.66754150390625)	(132.5035400390625, 226.90179443359375)	(230.870849609375, 193.448486328125)	(176.92828369140625, 52.85752487182617)
(364.07977294921875, 313.6217956542969)	(528.6744384765625, 201.40478515625)	(215.22312927246094, 97.71631622314453)	(575.7073974609375, 51.94371795654297)
(364.1199951171875, 315.3614501953125)	(182.87503051757812, 113.04896545410156)	(608.97705078125, 99.23863983154297)	(376.49505615234375, 336.9325866699219)
(364.0675048828125, 316.58905029296875)	(131.78529357910156, 226.68914794921875)	(230.33274841308594, 191.65126037597656)	(175.59442138671875, 50.95623779296875)
(364.0719299316406, 318.03790283203125)	(527.7333984375, 198.9437713623047)	(215.56472778320312, 97.31837463378906)	(575.257568359375, 49.60884094238281)
(364.01434326171875, 319.4763488769531)	(182.4580078125, 110.6458740234375)	(608.0897827148438, 96.53990173339844)	(376.0787048339844, 335.10546875)
