Field	Red Robot	Yellow Robot	Ball
(394.8260498046875, 288.6285400390625)	(612.0203247070312, 185.60675048828125)	(635.3639526367188, 105.01604461669922)	(254.66334533691406, 63.60612487792969)
(394.88812255859375, 288.731689453125)	(214.6649932861328, 187.8583526611328)	(256.8908386230469, 102.3995132446289)	(261.7600402832031, 65.14276885986328)
(395.13641357421875, 289.07342529296875)	(613.3043212890625, 186.37503051757812)	(189.29176330566406, 72.29074096679688)	(256.3945007324219, 65.07289123535156)
(395.102294921875, 289.18389892578125)	(216.0258331298828, 188.4248046875)	(338.0379943847656, 105.72138977050781)	(254.3267822265625, 65.55531311035156)
(395.1109619140625, 289.57330322265625)	(614.4996337890625, 187.1894073486328)	(634.8334350585938, 105.22898864746094)	(262.146240234375, 66.9985580444336)
(394.7542724609375, 289.5560607910156)	(216.8500518798828, 188.81837463378906)	(256.87872314453125, 102.59174346923828)	(265.3136901855469, 67.79061126708984)
(394.81134033203125, 288.9132995605469)	(615.30615234375, 187.37998962402344)	(190.46705627441406, 72.66232299804688)	(267.2987976074219, 68.33531951904297)
(394.5948181152344, 288.62200927734375)	(217.63320922851562, 189.11740112304688)	(324.9213562011719, 105.6920166015625)	(267.9697265625, 68.52132415771484)
(394.45379638671875, 288.548828125)	(615.9156494140625, 188.0419921875)	(634.725830078125, 105.51161193847656)	(268.58935546875, 68.91136169433594)
(394.50384521484375, 288.48114013671875)	(217.9595489501953, 189.67127990722656)	(256.4991455078125, 102.98648834228516)	(270.5718078613281, 69.38031768798828)
(394.8446350097656, 288.6067810058594)	(616.6625366210938, 188.44537353515625)	(190.90809631347656, 73.05667877197266)	(270.660888671875, 69.98684692382812)
(395.1963195800781, 288.76202392578125)	(218.77398681640625, 190.6756134033203)	(635.1682739257812, 105.90469360351562)	(270.78277587890625, 70.1987533569336)
(394.47833251953125, 289.46527099609375)	(617.2100219726562, 189.01211547851562)	(256.1813049316406, 103.31376647949219)	(270.34698486328125, 70.91180419921875)
(395.2495422363281, 289.2378845214844)	(219.7357940673828, 190.5680389404297)	(191.19398498535156, 73.6014175415039)	(269.9827880859375, 71.61046600341797)
(394.4951171875, 289.8619689941406)	(618.057373046875, 189.6646728515625)	(635.7286376953125, 106.29879760742188)	(269.5098876953125, 72.00914001464844)
(394.7485656738281, 290.28814697265625)	(219.997802734375, 191.15818786621094)	(256.0515441894531, 103.42176818847656)	(268.5116271972656, 72.6789321899414)
(394.9066162109375, 290.4684753417969)	(618.2044677734375, 189.89173889160156)	(191.45077514648438, 74.27088928222656)	(268.53448486328125, 73.5377197265625)
(394.720703125, 290.8481750488281)	(220.81822204589844, 191.31724548339844)	(635.24560546875, 106.41404724121094)	(268.2659606933594, 73.97042846679688)
(394.1811828613281, 290.7720947265625)	(618.27392578125, 190.1434783935547)	(255.906005859375, 104.06547546386719)	(268.09259033203125, 74.2092056274414)
(393.77825927734375, 290.935791015625)	(221.78697204589844, 191.3423614501953)	(191.79214477539062, 74.84683990478516)	(268.90118408203125, 74.74252319335938)
(393.748779296875, 291.1500549316406)	(619.254150390625, 190.63162231445312)	(635.2803344726562, 107.33499145507812)	(269.3788757324219, 75.8346176147461)
(393.771240234375, 291.27880859375)	(221.96315002441406, 191.3965301513672)	(255.79794311523438, 104.24373626708984)	(270.1879577636719, 76.98945617675781)
(393.71795654296875, 291.1395568847656)	(619.2152709960938, 190.44607543945312)	(191.9934539794922, 75.34954833984375)	(270.4552917480469, 77.53118896484375)
(393.7865905761719, 290.9737243652344)	(220.96949768066406, 190.67672729492188)	(635.4147338867188, 107.50975799560547)	(270.58721923828125, 77.08653259277344)
(393.0231018066406, 291.0263366699219)	(619.4249877929688, 190.8358612060547)	(255.92884826660156, 104.49600219726562)	(271.0751037597656, 77.6513671875)
(392.98138427734375, 291.0640869140625)	(220.48143005371094, 190.37750244140625)	(192.05003356933594, 75.61714935302734)	(261.20233154296875, 76.50729370117188)
(392.8280334472656, 291.7476501464844)	(620.0550537109375, 190.9210205078125)	(635.7418212890625, 107.47547912597656)	(257.5166931152344, 76.44255065917969)
(392.71087646484375, 291.8961181640625)	(220.5990753173828, 190.30001831054688)	(255.7776641845703, 105.03484344482422)	(256.499267578125, 76.63900756835938)
(392.7736511230469, 291.9027099609375)	(621.0021362304688, 191.10765075683594)	(191.70913696289062, 76.43391418457031)	(260.21600341796875, 76.92524719238281)
(392.7552490234375, 291.36456298828125)	(221.26385498046875, 190.7801513671875)	(635.9086303710938, 107.25273895263672)	(264.7760009765625, 77.02891540527344)
(392.85870361328125, 291.22955322265625)	(621.912353515625, 191.3076629638672)	(255.7753143310547, 105.08644104003906)	(263.9852294921875, 76.95610046386719)
(392.99951171875, 291.15631103515625)	(222.02687072753906, 191.93292236328125)	(190.5682830810547, 77.12915802001953)	(266.6224060058594, 77.0726547241211)
(392.7984924316406, 291.1893005371094)	(622.6907958984375, 191.78402709960938)	(636.6007080078125, 107.38489532470703)	(268.0207824707031, 77.22801971435547)
(392.8744812011719, 291.41717529296875)	(222.61959838867188, 192.6213836669922)	(255.9066925048828, 105.27312469482422)	(268.81195068359375, 77.4483871459961)
(392.8299560546875, 291.4889221191406)	(623.555419921875, 192.15431213378906)	(184.39488220214844, 79.4359130859375)	(271.7613525390625, 77.43733978271484)
(392.54693603515625, 291.6194152832031)	(223.27297973632812, 193.23410034179688)	(635.9078369140625, 107.94036865234375)	(271.13409423828125, 77.58050537109375)
(392.4618835449219, 291.3463134765625)	(624.4013061523438, 192.77671813964844)	(256.529296875, 105.32535552978516)	(273.18170166015625, 77.66107177734375)
(392.31396484375, 292.0999755859375)	(223.78610229492188, 194.08424377441406)	(186.74212646484375, 78.63968658447266)	(479.1207275390625, 154.55352783203125)
(392.26727294921875, 292.0006103515625)	(625.1181640625, 193.3525848388672)	(635.916015625, 108.1579360961914)	(479.2045593261719, 153.9834747314453)
(392.1231384277344, 291.88909912109375)	(224.224853515625, 194.99647521972656)	(255.78317260742188, 105.35330963134766)	(479.26800537109375, 153.422607421875)
(392.0819091796875, 291.7693786621094)	(625.230712890625, 193.38645935058594)	(182.08819580078125, 78.07135009765625)	(479.30206298828125, 152.77474975585938)
(392.05450439453125, 291.63916015625)	(225.08094787597656, 195.8182830810547)	(635.666015625, 108.56568908691406)	(479.251220703125, 151.9993896484375)
(391.9282531738281, 291.3292236328125)	(625.727783203125, 193.61094665527344)	(255.74620056152344, 105.29450988769531)	(255.361083984375, 76.8115005493164)
(391.8434143066406, 290.824462890625)	(226.05357360839844, 196.32994079589844)	(180.440185546875, 77.89547729492188)	(254.89593505859375, 76.65258026123047)
(391.872802734375, 290.9176330566406)	(626.2861328125, 193.8233642578125)	(635.600830078125, 108.5314712524414)	(255.1346893310547, 76.6588363647461)
(391.8907470703125, 290.904541015625)	(226.5030975341797, 197.06997680664062)	(255.5059051513672, 105.62034606933594)	(255.9337158203125, 76.66588592529297)
(391.6898193359375, 290.7266540527344)	(627.8858642578125, 194.50892639160156)	(179.8227996826172, 77.81317138671875)	(255.71469116210938, 76.52194213867188)
(391.80523681640625, 290.5064697265625)	(227.14694213867188, 198.3653564453125)	(636.156494140625, 108.93023681640625)	(254.91775512695312, 75.98939514160156)
(391.9342041015625, 290.1878356933594)	(628.9254150390625, 195.1229248046875)	(255.37139892578125, 105.89143371582031)	(255.90206909179688, 76.21222686767578)
(391.9861145019531, 289.7540283203125)	(228.07254028320312, 199.28668212890625)	(179.65065002441406, 77.49131774902344)	(256.8188171386719, 76.0278549194336)
(391.8699645996094, 289.18450927734375)	(629.8435668945312, 196.57518005371094)	(636.0296020507812, 109.23880004882812)	(257.0146179199219, 75.85027313232422)
(391.5544738769531, 288.6189270019531)	(228.99185180664062, 200.1890106201172)	(255.5751190185547, 106.1979751586914)	(258.6894226074219, 75.5639877319336)
(392.1588134765625, 288.53887939453125)	(630.3250732421875, 197.45901489257812)	(179.34304809570312, 77.00989532470703)	(259.3937072753906, 75.12423706054688)
(392.1551513671875, 288.58807373046875)	(229.49282836914062, 200.7326202392578)	(636.0750732421875, 109.33740234375)	(259.9132385253906, 74.86149597167969)
(392.12225341796875, 288.7091064453125)	(630.650390625, 197.81881713867188)	(255.8726348876953, 106.7640609741211)	(258.3990783691406, 75.10285949707031)
(391.7980651855469, 288.8011474609375)	(229.98634338378906, 201.67483520507812)	(179.362060546875, 76.92814636230469)	(258.0382080078125, 75.09590148925781)
(391.7030029296875, 288.61639404296875)	(630.8687133789062, 198.1597442626953)	(635.560546875, 109.59093475341797)	(255.9602813720703, 74.61688995361328)
(391.67718505859375, 288.4129638671875)	(230.2084503173828, 201.3242645263672)	(255.19374084472656, 107.01978302001953)	(254.5448455810547, 74.24081420898438)
(391.58099365234375, 288.1935729980469)	(630.9002685546875, 197.9978790283203)	(179.34259033203125, 77.11846160888672)	(254.33587646484375, 73.88343048095703)
(391.37628173828125, 288.08197021484375)	(230.6957244873047, 202.05455017089844)	(634.5899658203125, 110.0574722290039)	(254.1023406982422, 73.47533416748047)
(390.8971252441406, 288.0303955078125)	(631.059814453125, 198.04527282714844)	(254.87600708007812, 107.679931640625)	(260.800048828125, 69.58776092529297)
(390.79583740234375, 288.2281799316406)	(231.26564025878906, 202.38487243652344)	(179.2831268310547, 76.7784652709961)	(263.73126220703125, 68.638671875)
(390.5909423828125, 288.0695495605469)	(631.267578125, 198.1735382080078)	(634.99658203125, 110.17942810058594)	(267.6806945800781, 67.7845230102539)
(390.41900634765625, 287.6396789550781)	(231.8880615234375, 202.61961364746094)	(256.0127258300781, 108.73158264160156)	(268.2500305175781, 66.79253387451172)
(390.23358154296875, 287.4881286621094)	(631.4279174804688, 198.32504272460938)	(179.26315307617188, 76.57987213134766)	(267.19073486328125, 66.94921112060547)
(390.2422180175781, 287.2883605957031)	(231.99365234375, 201.2947235107422)	(635.0545043945312, 110.1357650756836)	(265.29498291015625, 66.99620819091797)
(390.07220458984375, 286.982177734375)	(631.913330078125, 198.5745391845703)	(256.8404846191406, 109.96370697021484)	(262.03619384765625, 67.34616088867188)
(389.96160888671875, 286.4999084472656)	(232.5289764404297, 200.95596313476562)	(179.15684509277344, 76.33561706542969)	(260.2932434082031, 67.44607543945312)
(389.3870849609375, 286.17718505859375)	(632.4590454101562, 198.90243530273438)	(635.4481201171875, 110.1948471069336)	(259.5600280761719, 67.03771209716797)
(389.55804443359375, 286.04656982421875)	(232.86126708984375, 200.943115234375)	(259.6025085449219, 112.32264709472656)	(259.94903564453125, 66.4581298828125)
(389.6876220703125, 285.6794738769531)	(633.0433349609375, 199.1844024658203)	(635.06689453125, 110.05331420898438)	(258.7966613769531, 66.64683532714844)
(389.7051696777344, 285.68603515625)	(233.2102813720703, 200.6413116455078)	(260.1282653808594, 113.7066879272461)	(258.58026123046875, 66.70194244384766)
(389.7751770019531, 285.7915344238281)	(633.4872436523438, 198.9552001953125)	(634.131103515625, 110.0935287475586)	(261.0525817871094, 65.7945556640625)
(389.6023864746094, 285.3204650878906)	(233.91481018066406, 200.5082550048828)	(245.7404327392578, 112.96780395507812)	(478.54754638671875, 137.4967498779297)
(389.3424377441406, 285.07275390625)	(634.036376953125, 199.27171325683594)	(634.1213989257812, 110.57770538330078)	(261.8222351074219, 65.61512756347656)
(389.0312805175781, 284.673828125)	(235.5183563232422, 202.6044921875)	(240.01406860351562, 112.93342590332031)	(478.59539794921875, 137.45545959472656)
(389.4731750488281, 283.04876708984375)	(634.64404296875, 199.4162139892578)	(633.8407592773438, 111.1666488647461)	(264.2857971191406, 64.86267852783203)
(389.8563232421875, 282.2305603027344)	(236.58114624023438, 199.9801483154297)	(356.1357421875, 149.11944580078125)	(478.34832763671875, 136.76806640625)
(389.5843505859375, 282.1756591796875)	(635.7724609375, 199.53250122070312)	(253.45327758789062, 116.67255401611328)	(262.3293762207031, 65.53230285644531)
(390.0954895019531, 281.12432861328125)	(237.65232849121094, 200.83786010742188)	(633.6178588867188, 112.19454956054688)	(478.126708984375, 136.01861572265625)
(390.3404235839844, 280.6698303222656)	(636.751953125, 199.70791625976562)	(355.92010498046875, 148.924072265625)	(260.2765808105469, 65.72792053222656)
(390.40216064453125, 280.26812744140625)	(238.47283935546875, 201.65252685546875)	(242.52015686035156, 116.15027618408203)	(478.0274658203125, 135.19244384765625)
(390.9188232421875, 279.7377624511719)	(637.4532470703125, 199.90618896484375)	(633.056884765625, 113.08708953857422)	(477.98919677734375, 134.41964721679688)
(391.4326477050781, 279.533935546875)	(270.49432373046875, 132.32559204101562)	(355.0712890625, 148.48013305664062)	(478.09173583984375, 133.56370544433594)
(391.42578125, 279.4585876464844)	(239.04832458496094, 200.11782836914062)	(238.5108642578125, 115.93812561035156)	(478.172119140625, 132.65672302246094)
(391.2514953613281, 279.451171875)	(638.0211181640625, 200.1343536376953)	(632.6543579101562, 113.57705688476562)	(259.3967590332031, 65.32981872558594)
(389.0799865722656, 281.0357971191406)	(270.218994140625, 132.6970977783203)	(354.6707458496094, 148.23565673828125)	(478.26641845703125, 131.59161376953125)
(389.2933654785156, 280.6314392089844)	(239.78939819335938, 201.86631774902344)	(236.50929260253906, 116.01128387451172)	(258.3851318359375, 65.00846099853516)
(389.6799011230469, 280.9627380371094)	(638.622802734375, 200.31700134277344)	(632.216796875, 114.10516357421875)	(478.14898681640625, 130.95037841796875)
(389.8731994628906, 282.44793701171875)	(269.7020263671875, 133.32981872558594)	(354.00225830078125, 148.26895141601562)	(478.0173645019531, 130.3031005859375)
(390.34771728515625, 282.106201171875)	(238.85768127441406, 202.1298370361328)	(252.44265747070312, 122.19225311279297)	(477.9917297363281, 129.7090301513672)
(390.71929931640625, 282.12109375)	(638.8099365234375, 200.379638671875)	(632.112060546875, 114.51434326171875)	(477.91156005859375, 129.12411499023438)
(390.8010559082031, 282.3047790527344)	(269.5831604003906, 133.50074768066406)	(352.7200927734375, 148.05667114257812)	(477.76898193359375, 128.88430786132812)
(390.7552185058594, 281.903564453125)	(240.11849975585938, 202.9784393310547)	(241.3128662109375, 118.2867431640625)	(477.4985656738281, 128.89212036132812)
(390.8216247558594, 281.923828125)	(639.0134887695312, 200.1759490966797)	(632.1895751953125, 114.46134185791016)	(477.173583984375, 129.20004272460938)
(390.81146240234375, 281.3865966796875)	(269.609619140625, 133.56369018554688)	(351.63671875, 148.2642822265625)	(477.25592041015625, 128.79025268554688)
(390.90582275390625, 281.3576354980469)	(239.8582305908203, 203.12533569335938)	(237.33114624023438, 116.85331726074219)	(476.9818115234375, 129.34559631347656)
(390.9899597167969, 281.6670837402344)	(639.1918334960938, 200.01817321777344)	(632.4033203125, 114.71215057373047)	(476.7492370605469, 129.44198608398438)
(391.0345153808594, 281.74481201171875)	(269.48974609375, 133.54258728027344)	(350.46466064453125, 148.21078491210938)	(476.49688720703125, 129.42153930664062)
(391.0625, 281.93280029296875)	(240.08102416992188, 203.07164001464844)	(235.80941772460938, 116.53055572509766)	(476.1358642578125, 129.03965759277344)
(390.5634765625, 282.1022033691406)	(639.734130859375, 199.92605590820312)	(632.5792846679688, 114.62484741210938)	(475.795166015625, 128.60479736328125)
(390.37689208984375, 282.1005859375)	(268.6817932128906, 133.4259490966797)	(349.23614501953125, 148.04888916015625)	(475.49896240234375, 128.23715209960938)
(390.30902099609375, 282.00701904296875)	(240.68414306640625, 203.58363342285156)	(235.38690185546875, 116.68470764160156)	(475.2568054199219, 127.92723846435547)
(390.525634765625, 281.7740783691406)	(640.3369750976562, 200.2200469970703)	(632.3387451171875, 114.67447662353516)	(475.0115051269531, 127.67300415039062)
(390.4800720214844, 281.9955139160156)	(267.7998046875, 132.88343811035156)	(348.0872802734375, 147.85726928710938)	(474.7294616699219, 127.4769287109375)
(390.4031982421875, 282.09503173828125)	(241.26344299316406, 203.94610595703125)	(390.4085693359375, 179.96096801757812)	(474.2348327636719, 127.1592025756836)
(389.8133850097656, 282.3680114746094)	(641.4276123046875, 200.7434539794922)	(235.10818481445312, 116.81889343261719)	(473.8603820800781, 126.58695220947266)
(389.57818603515625, 282.07177734375)	(266.6385498046875, 132.19671630859375)	(631.96533203125, 114.97730255126953)	(473.4167175292969, 125.8429946899414)
(389.544921875, 281.4595642089844)	(241.6560821533203, 204.1824493408203)	(346.95703125, 147.67233276367188)	(473.09466552734375, 125.31886291503906)
(389.6209411621094, 281.0911865234375)	(642.5223388671875, 201.51109313964844)	(234.94383239746094, 117.17066955566406)	(472.9527587890625, 125.08209228515625)
(389.69635009765625, 280.6596984863281)	(265.641357421875, 131.46104431152344)	(631.7096557617188, 114.97247314453125)	(472.6990661621094, 124.67037963867188)
(389.9864501953125, 280.6284484863281)	(242.09628295898438, 204.67498779296875)	(345.885009765625, 147.30206298828125)	(472.42877197265625, 124.287109375)
(390.1352844238281, 280.8652038574219)	(643.6768798828125, 201.7491455078125)	(250.98741149902344, 118.22331237792969)	(472.21197509765625, 123.8039321899414)
(390.1150207519531, 280.9507751464844)	(264.731201171875, 130.63348388671875)	(631.1866455078125, 115.33766174316406)	(472.0063781738281, 123.2064208984375)
(390.04461669921875, 281.0588073730469)	(242.10829162597656, 204.41201782226562)	(344.80035400390625, 147.04385375976562)	(471.6724853515625, 122.55206298828125)
(390.0706787109375, 280.9945068359375)	(643.9108276367188, 201.69854736328125)	(257.92205810546875, 117.91313934326172)	(471.53741455078125, 121.8004150390625)
(390.0083923339844, 281.2751159667969)	(264.25201416015625, 130.0422821044922)	(631.0916748046875, 115.22476959228516)	(471.20068359375, 120.9356689453125)
(390.0609130859375, 281.1571350097656)	(243.5364227294922, 202.62762451171875)	(259.2721252441406, 118.06573486328125)	(470.82269287109375, 120.17211151123047)
(389.8868103027344, 281.3295593261719)	(644.05517578125, 201.83091735839844)	(630.2432861328125, 115.51925659179688)	(470.4922790527344, 119.32075500488281)
(390.0, 281.33349609375)	(264.079345703125, 129.5263214111328)	(259.2810363769531, 118.30182647705078)	(470.30853271484375, 118.75682067871094)
(390.2249450683594, 281.51312255859375)	(244.1297149658203, 201.71530151367188)	(630.1221313476562, 116.28791046142578)	(470.1562805175781, 117.94918823242188)
(390.1204833984375, 281.4505920410156)	(644.1934814453125, 202.2170867919922)	(259.6004333496094, 117.91101837158203)	(469.8681335449219, 117.24761962890625)
(390.26165771484375, 281.5657958984375)	(244.5059814453125, 202.13845825195312)	(630.1357421875, 116.8018569946289)	(469.5379638671875, 116.6021957397461)
(390.0880432128906, 281.85968017578125)	(644.2704467773438, 202.6282501220703)	(260.25970458984375, 118.29196166992188)	(469.2376708984375, 115.87525939941406)
(390.02972412109375, 282.0148010253906)	(245.07391357421875, 203.31834411621094)	(630.1812744140625, 117.1319808959961)	(468.82513427734375, 115.03337097167969)
(390.1068115234375, 281.9312744140625)	(644.6475830078125, 202.7445526123047)	(260.03173828125, 117.26225280761719)	(468.4402770996094, 114.35600280761719)
(389.99969482421875, 282.0093688964844)	(245.9973602294922, 204.4098358154297)	(628.6170043945312, 117.22052001953125)	(468.1449890136719, 113.5893783569336)
(389.7518005371094, 281.9997253417969)	(645.55322265625, 202.92929077148438)	(172.29222106933594, 72.73365020751953)	(467.8502197265625, 112.71420288085938)
(389.82537841796875, 281.92315673828125)	(246.29776000976562, 204.43096923828125)	(260.1645202636719, 116.79713439941406)	(467.55731201171875, 111.8450927734375)
(389.97711181640625, 281.364013671875)	(645.7094116210938, 203.04727172851562)	(630.1580200195312, 117.29676055908203)	(467.3460693359375, 110.9205322265625)
(389.81243896484375, 281.08367919921875)	(247.07997131347656, 205.17591857910156)	(172.2295684814453, 72.5269775390625)	(467.1542663574219, 109.73136138916016)
(389.75146484375, 280.59735107421875)	(645.5045776367188, 203.17674255371094)	(259.0206298828125, 116.24519348144531)	(466.8006591796875, 108.73554992675781)
(389.3375244140625, 280.2969970703125)	(247.7039794921875, 207.02761840820312)	(630.2406005859375, 117.33683013916016)	(466.5269775390625, 107.96592712402344)
(389.23553466796875, 280.47265625)	(647.3614501953125, 203.31466674804688)	(172.3881072998047, 72.09197998046875)	(466.1601867675781, 107.17669677734375)
(389.3099670410156, 280.1298522949219)	(248.41796875, 207.16419982910156)	(257.6512451171875, 115.811767578125)	(465.913330078125, 106.17951202392578)
(388.96844482421875, 279.87982177734375)	(647.9713134765625, 203.66943359375)	(630.18603515625, 117.23987579345703)	(465.55419921875, 104.77964782714844)
(389.0414733886719, 279.4994201660156)	(249.0491943359375, 207.60324096679688)	(172.5763702392578, 72.01411437988281)	(465.46783447265625, 104.47776794433594)
(389.13372802734375, 279.7370300292969)	(648.8576049804688, 203.85250854492188)	(257.0870666503906, 115.56420135498047)	(465.53228759765625, 103.41189575195312)
(389.5278015136719, 279.6614990234375)	(249.40597534179688, 207.75823974609375)	(630.883544921875, 116.55908966064453)	(465.6296691894531, 102.06902313232422)
(389.6529846191406, 279.709716796875)	(649.732421875, 203.8943634033203)	(172.71279907226562, 71.82329559326172)	(465.60577392578125, 100.70965576171875)
(389.82720947265625, 279.7699279785156)	(249.76524353027344, 208.3948211669922)	(257.4063720703125, 115.04927825927734)	(465.5178527832031, 99.528564453125)
(390.06268310546875, 279.8934020996094)	(650.1253662109375, 204.03143310546875)	(630.58740234375, 116.65390014648438)	(242.38897705078125, 48.91962432861328)
(390.1641540527344, 279.7369384765625)	(250.00396728515625, 208.66900634765625)	(172.8518829345703, 71.80156707763672)	(242.08819580078125, 48.637535095214844)
(390.1894836425781, 278.84393310546875)	(650.2119140625, 203.83673095703125)	(258.45294189453125, 114.5497817993164)	(243.22161865234375, 48.152217864990234)
(390.2427978515625, 278.2319030761719)	(250.54718017578125, 209.04173278808594)	(630.24462890625, 116.54133605957031)	(243.6268310546875, 47.698307037353516)
(390.241943359375, 277.2674865722656)	(650.5298461914062, 203.86387634277344)	(172.73851013183594, 72.03817749023438)	(244.13294982910156, 47.30216979980469)
(390.1424865722656, 276.6728820800781)	(251.93759155273438, 209.51858520507812)	(258.33721923828125, 114.2211685180664)	(244.82565307617188, 46.938297271728516)
(390.1226806640625, 276.06842041015625)	(651.6920776367188, 204.02586364746094)	(629.3884887695312, 116.44798278808594)	(246.02452087402344, 46.61992263793945)
(390.1839599609375, 275.1820373535156)	(253.0282745361328, 209.66102600097656)	(172.645263671875, 72.14637756347656)	(247.04290771484375, 46.24736022949219)
(390.26678466796875, 274.67303466796875)	(652.270751953125, 204.1878204345703)	(258.3631591796875, 114.01994323730469)	(247.53768920898438, 46.02517318725586)
(390.1601867675781, 274.89752197265625)	(253.3544464111328, 209.7256317138672)	(629.8741455078125, 116.2525634765625)	(247.87745666503906, 45.806888580322266)
(390.04534912109375, 274.9090270996094)	(652.643798828125, 204.23822021484375)	(172.71566772460938, 72.16755676269531)	(248.0468292236328, 45.50398254394531)
(389.9150085449219, 275.28955078125)	(254.25436401367188, 210.02476501464844)	(258.7783203125, 114.01143646240234)	(248.23121643066406, 45.32081985473633)
(389.7638244628906, 275.4786071777344)	(653.2708740234375, 204.83970642089844)	(629.9564208984375, 116.07203674316406)	(247.92083740234375, 45.20943069458008)
(389.6930236816406, 275.17095947265625)	(255.14048767089844, 210.21331787109375)	(172.82052612304688, 72.03985595703125)	(248.07687377929688, 45.04844284057617)
(389.43536376953125, 275.5001525878906)	(654.0321044921875, 205.37210083007812)	(258.10638427734375, 114.5300064086914)	(247.47537231445312, 44.93721008300781)
(389.2443542480469, 275.6343688964844)	(256.4080810546875, 210.56002807617188)	(630.2720336914062, 116.09268951416016)	(246.20831298828125, 44.79985427856445)
(388.8442687988281, 275.52099609375)	(655.4149169921875, 205.8955078125)	(172.9013671875, 71.8641128540039)	(245.69558715820312, 44.71306228637695)
(388.5967102050781, 275.8353271484375)	(257.61224365234375, 211.0980682373047)	(259.3370361328125, 114.89346313476562)	(244.90467834472656, 44.8563232421875)
(388.1607666015625, 276.2117919921875)	(656.64794921875, 206.03445434570312)	(631.8336791992188, 116.5403823852539)	(244.07620239257812, 44.9581413269043)
(387.88592529296875, 276.53204345703125)	(258.6131286621094, 211.22811889648438)	(173.10406494140625, 71.64965057373047)	(244.01873779296875, 45.175689697265625)
(388.0081787109375, 276.7670593261719)	(656.9398193359375, 206.2602996826172)	(259.41986083984375, 114.90685272216797)	(255.07928466796875, 45.11641311645508)
(387.4796142578125, 276.94873046875)	(259.4483947753906, 211.54742431640625)	(632.3292846679688, 116.23664093017578)	(258.97589111328125, 45.11732864379883)
(386.9122314453125, 277.2443542480469)	(657.308349609375, 206.58209228515625)	(173.08883666992188, 71.74398803710938)	(258.92205810546875, 45.124107360839844)
(386.6315002441406, 277.2668151855469)	(259.9822692871094, 212.06396484375)	(259.53326416015625, 115.82279205322266)	(257.6619567871094, 45.39015579223633)
(386.125244140625, 277.45123291015625)	(657.7870483398438, 206.81521606445312)	(632.7164916992188, 116.4352035522461)	(257.32086181640625, 45.57506561279297)
(386.4317626953125, 278.2925720214844)	(260.7049560546875, 212.4395294189453)	(172.4691619873047, 71.74705505371094)	(257.7315673828125, 45.61091995239258)
(385.5268859863281, 279.4201965332031)	(658.5390014648438, 207.2918243408203)	(260.6015625, 116.67948150634766)	(257.9876403808594, 45.70953369140625)
(385.37469482421875, 280.28173828125)	(261.158203125, 212.39682006835938)	(633.1593627929688, 116.47183227539062)	(249.70040893554688, 45.678810119628906)
(385.23992919921875, 280.6799011230469)	(658.984619140625, 207.56158447265625)	(171.82418823242188, 70.41336822509766)	(246.00819396972656, 45.582340240478516)
(386.3846435546875, 280.06109619140625)	(261.89874267578125, 212.6221160888672)	(261.3161926269531, 116.82144165039062)	(252.9500274658203, 45.8186149597168)
(386.7488098144531, 279.9411315917969)	(659.726806640625, 207.7887725830078)	(633.6427001953125, 116.38246154785156)	(246.6751251220703, 46.00529861450195)
(385.8350524902344, 280.1309509277344)	(261.88604736328125, 212.33265686035156)	(170.977294921875, 69.7843017578125)	(244.89930725097656, 46.106605529785156)
(386.79559326171875, 280.076171875)	(659.8031616210938, 207.64089965820312)	(260.2304992675781, 116.80213165283203)	(243.99502563476562, 46.180118560791016)
(387.4336242675781, 280.0884704589844)	(262.5070495605469, 211.8391571044922)	(633.9271240234375, 116.45128631591797)	(462.44183349609375, 94.1233139038086)
(387.0240173339844, 279.16632080078125)	(660.620361328125, 207.332763671875)	(170.6804656982422, 69.3386001586914)	(243.012939453125, 46.347530364990234)
(386.9658508300781, 278.85198974609375)	(263.30218505859375, 211.94725036621094)	(259.7214050292969, 116.78190612792969)	(462.27081298828125, 94.5341796875)
(386.934814453125, 279.07159423828125)	(661.6124267578125, 207.75950622558594)	(633.922607421875, 116.5065689086914)	(242.9725799560547, 46.613407135009766)
(386.94525146484375, 279.3154602050781)	(263.8929138183594, 212.32339477539062)	(170.0708465576172, 68.29624938964844)	(462.0810852050781, 95.15435028076172)
(387.05218505859375, 278.7249755859375)	(662.561767578125, 208.3222198486328)	(258.7728576660156, 116.65660858154297)	(242.9883575439453, 46.726905822753906)
(387.5259094238281, 279.0281066894531)	(264.42791748046875, 212.0161590576172)	(633.9986572265625, 116.38492584228516)	(461.8860168457031, 95.64398193359375)
(388.10467529296875, 279.0811462402344)	(663.560791015625, 208.59423828125)	(169.4853515625, 67.28759765625)	(243.90350341796875, 46.79789352416992)
(387.7209167480469, 279.605712890625)	(264.922607421875, 211.55747985839844)	(256.3506164550781, 117.71592712402344)	(461.7127990722656, 96.18415069580078)
(387.7701416015625, 279.6811828613281)	(664.136962890625, 208.49044799804688)	(634.2696533203125, 116.41974639892578)	(244.874755859375, 46.78837203979492)
(387.42193603515625, 279.7357177734375)	(265.4006652832031, 211.95297241210938)	(168.72036743164062, 66.47758483886719)	(461.6259765625, 96.43558502197266)
(387.4811096191406, 279.7344970703125)	(665.3683471679688, 208.6965789794922)	(257.408447265625, 117.24312591552734)	(244.88670349121094, 46.71453094482422)
