epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,371.853,0.57396,0.68399,0.95654,0.8248,0.82434,0.8349,0.69959,0.72947,0.86397,0.94298,0.000544625,0.000544625,0.000544625
59,377.681,0.57541,0.68125,0.9635,0.81845,0.85666,0.84646,0.7068,0.74282,0.87112,0.94091,0.00053225,0.00053225,0.00053225
60,384.549,0.57762,0.68387,0.95717,0.86399,0.82991,0.85123,0.71437,0.71972,0.80227,0.94173,0.000519875,0.000519875,0.000519875
61,392.666,0.57173,0.67078,0.95322,0.84257,0.82936,0.86491,0.72279,0.68259,0.8276,0.9229,0.0005075,0.0005075,0.0005075
62,401.016,0.5817,0.68025,0.95933,0.82718,0.84313,0.86464,0.71883,0.72092,0.77588,0.94243,0.000495125,0.000495125,0.000495125
63,409.322,0.56453,0.6608,0.95057,0.82751,0.84474,0.8602,0.71423,0.72747,0.82357,0.93182,0.00048275,0.00048275,0.00048275
64,416.076,0.57433,0.67024,0.95009,0.82243,0.82573,0.84721,0.70458,0.72803,0.82145,0.9404,0.000470375,0.000470375,0.000470375
65,421.967,0.55934,0.64376,0.93749,0.85583,0.75908,0.84931,0.70693,0.73183,0.87835,0.94202,0.000458,0.000458,0.000458
66,427.889,0.55427,0.65714,0.94643,0.84043,0.75784,0.83321,0.69847,0.71557,0.8941,0.92337,0.000445625,0.000445625,0.000445625
67,433.803,0.54722,0.63016,0.94002,0.81091,0.77974,0.84326,0.70443,0.71648,0.79459,0.93892,0.00043325,0.00043325,0.00043325
68,439.707,0.56048,0.64406,0.94971,0.85758,0.81404,0.86212,0.73564,0.68032,0.87183,0.91252,0.000420875,0.000420875,0.000420875
69,445.656,0.55246,0.63744,0.94297,0.81391,0.85522,0.89125,0.75447,0.70064,0.7884,0.92154,0.0004085,0.0004085,0.0004085
70,451.544,0.54573,0.6526,0.94914,0.86174,0.83772,0.8812,0.74461,0.6913,0.80541,0.91522,0.000396125,0.000396125,0.000396125
71,457.44,0.55267,0.62162,0.93917,0.84784,0.85511,0.88484,0.74761,0.67546,0.80848,0.92333,0.00038375,0.00038375,0.00038375
72,463.238,0.54704,0.63097,0.93845,0.84649,0.84917,0.87321,0.73304,0.68659,0.76286,0.93419,0.000371375,0.000371375,0.000371375
73,469.087,0.54224,0.62443,0.94154,0.83874,0.83027,0.85147,0.7214,0.6907,0.88349,0.93592,0.000359,0.000359,0.000359
74,474.956,0.54616,0.61099,0.93635,0.79929,0.83059,0.84464,0.706,0.71668,0.83158,0.94062,0.000346625,0.000346625,0.000346625
75,480.785,0.54256,0.63669,0.94283,0.8795,0.81227,0.88533,0.74603,0.71049,0.78096,0.92325,0.00033425,0.00033425,0.00033425
76,486.683,0.53944,0.61099,0.93167,0.84339,0.84237,0.87491,0.73345,0.67618,0.80504,0.91447,0.000321875,0.000321875,0.000321875
77,492.542,0.53122,0.59928,0.9303,0.8741,0.83592,0.87352,0.7348,0.65784,0.7944,0.90608,0.0003095,0.0003095,0.0003095
78,498.456,0.52244,0.60391,0.93429,0.84749,0.83349,0.85887,0.7257,0.66719,0.85889,0.9031,0.000297125,0.000297125,0.000297125
79,504.365,0.53311,0.6086,0.93796,0.87519,0.80956,0.8597,0.72295,0.65859,0.92204,0.89743,0.00028475,0.00028475,0.00028475
80,510.33,0.52859,0.62395,0.94348,0.84176,0.83152,0.88337,0.74356,0.65557,0.78515,0.89997,0.000272375,0.000272375,0.000272375
81,516.224,0.51257,0.59647,0.93231,0.85302,0.83351,0.87435,0.73816,0.66377,0.81789,0.90919,0.00026,0.00026,0.00026
82,522.141,0.51753,0.5724,0.92578,0.84897,0.83177,0.8786,0.74818,0.6343,0.80091,0.89778,0.000247625,0.000247625,0.000247625
83,528.006,0.51537,0.59551,0.92751,0.82924,0.84402,0.87693,0.74677,0.66971,0.82203,0.91104,0.00023525,0.00023525,0.00023525
84,533.918,0.51837,0.58563,0.9288,0.8574,0.83455,0.87416,0.74136,0.64281,0.85089,0.89856,0.000222875,0.000222875,0.000222875
85,540.794,0.51373,0.57239,0.92403,0.83827,0.85044,0.87777,0.73055,0.67029,0.81893,0.89656,0.0002105,0.0002105,0.0002105
86,548.933,0.51366,0.55287,0.92331,0.82698,0.84241,0.88333,0.74494,0.65463,0.77966,0.89746,0.000198125,0.000198125,0.000198125
87,557.067,0.50479,0.54573,0.92354,0.8912,0.83761,0.87656,0.74618,0.63141,0.81874,0.89404,0.00018575,0.00018575,0.00018575
88,565.141,0.52526,0.5706,0.92734,0.88089,0.85841,0.87736,0.7492,0.63884,0.79075,0.89953,0.000173375,0.000173375,0.000173375
89,573.473,0.50695,0.58922,0.9284,0.86617,0.846,0.88486,0.75382,0.6461,0.75597,0.90311,0.000161,0.000161,0.000161
90,580.222,0.5149,0.57108,0.92405,0.87468,0.8055,0.8712,0.74827,0.65069,0.79464,0.8995,0.000148625,0.000148625,0.000148625
91,609.751,0.56877,0.5228,0.89681,0.84402,0.86319,0.8791,0.72849,0.72642,0.81057,0.91357,0.00013625,0.00013625,0.00013625
92,615.528,0.54299,0.49579,0.88698,0.84721,0.8543,0.88587,0.73726,0.68544,0.74711,0.90507,0.000123875,0.000123875,0.000123875
93,621.207,0.53132,0.48074,0.87847,0.80586,0.87859,0.88756,0.74785,0.67676,0.70516,0.90099,0.0001115,0.0001115,0.0001115
94,626.953,0.52318,0.46924,0.86938,0.84768,0.85038,0.88243,0.74299,0.70167,0.74568,0.90069,9.9125e-05,9.9125e-05,9.9125e-05
95,632.707,0.52948,0.47664,0.87931,0.86748,0.85978,0.89305,0.75424,0.65947,0.72251,0.89729,8.675e-05,8.675e-05,8.675e-05
96,638.475,0.51413,0.47014,0.88225,0.86931,0.85463,0.89043,0.75021,0.69856,0.72958,0.90445,7.4375e-05,7.4375e-05,7.4375e-05
97,644.176,0.51106,0.44881,0.87248,0.87757,0.84366,0.89075,0.75333,0.68052,0.7124,0.90499,6.2e-05,6.2e-05,6.2e-05
98,649.862,0.5042,0.44341,0.87835,0.88778,0.84698,0.88817,0.75124,0.68599,0.72246,0.90557,4.9625e-05,4.9625e-05,4.9625e-05
99,655.54,0.50842,0.4604,0.87285,0.88478,0.85822,0.89125,0.75409,0.67053,0.72762,0.90064,3.725e-05,3.725e-05,3.725e-05
100,661.236,0.4967,0.45646,0.87545,0.88205,0.84434,0.88759,0.75427,0.68289,0.73013,0.90194,2.4875e-05,2.4875e-05,2.4875e-05
