Yellow Robot	Blue Robot	Ball
(688.5297241210938, 751.7570190429688)	(591.4473266601562, 579.8938598632812)	(0, 0)
(684.8439331054688, 751.1477661132812)	(588.4173583984375, 578.7247314453125)	(0, 0)
(684.7520141601562, 751.29248046875)	(586.855224609375, 577.565185546875)	(0, 0)
(685.5104370117188, 750.9107055664062)	(585.7256469726562, 575.0111694335938)	(0, 0)
(688.5380859375, 751.4998168945312)	(586.2626953125, 572.25927734375)	(0, 0)
(690.4205322265625, 751.4351806640625)	(587.58349609375, 569.6935424804688)	(0, 0)
(690.8706665039062, 752.4530029296875)	(585.5465698242188, 566.9744873046875)	(0, 0)
(691.0533447265625, 752.7686767578125)	(585.8483276367188, 564.5995483398438)	(0, 0)
(691.2764892578125, 752.2324829101562)	(586.8356323242188, 562.8842163085938)	(0, 0)
(688.2434692382812, 752.9392700195312)	(587.1576538085938, 562.1221313476562)	(0, 0)
(684.5066528320312, 754.2962646484375)	(585.4078369140625, 561.01953125)	(0, 0)
(678.9217529296875, 756.7183837890625)	(582.520263671875, 560.3190307617188)	(0, 0)
(678.7633056640625, 755.5230102539062)	(587.1422119140625, 558.5437622070312)	(0, 0)
(675.53564453125, 754.8391723632812)	(587.1498413085938, 557.84912109375)	(0, 0)
(674.0001220703125, 755.7133178710938)	(589.23046875, 557.7042846679688)	(0, 0)
(670.4880981445312, 756.3707885742188)	(590.0645141601562, 557.5979614257812)	(0, 0)
(668.4839477539062, 755.722900390625)	(589.7715454101562, 556.7175903320312)	(0, 0)
(669.9047241210938, 756.2080078125)	(590.6619262695312, 557.812744140625)	(0, 0)
(672.9674682617188, 754.1622924804688)	(592.5318603515625, 556.4046020507812)	(0, 0)
(677.5097045898438, 756.083984375)	(596.3582763671875, 558.589599609375)	(0, 0)
(680.9215087890625, 753.93359375)	(598.2874755859375, 557.6329345703125)	(0, 0)
(680.75048828125, 752.6414794921875)	(597.9303588867188, 556.02197265625)	(0, 0)
(680.8939819335938, 753.4271850585938)	(598.6697387695312, 558.0225830078125)	(0, 0)
(675.7821044921875, 756.9810791015625)	(593.9830932617188, 562.1920166015625)	(0, 0)
(673.6873168945312, 758.17529296875)	(592.0667114257812, 563.5610961914062)	(0, 0)
(675.0902709960938, 759.2030639648438)	(593.6539916992188, 563.5473022460938)	(0, 0)
(681.3504028320312, 758.912109375)	(599.5761108398438, 563.2498168945312)	(0, 0)
(684.2363891601562, 757.8659057617188)	(602.1387329101562, 561.6219482421875)	(0, 0)
(682.6737060546875, 758.23388671875)	(601.308837890625, 561.2499389648438)	(0, 0)
(680.0484008789062, 755.9798583984375)	(600.170166015625, 558.7999877929688)	(0, 0)
(677.1859741210938, 754.3858642578125)	(597.316162109375, 557.5221557617188)	(0, 0)
(679.657470703125, 753.591064453125)	(599.0672607421875, 557.6786499023438)	(0, 0)
(682.06982421875, 754.9737548828125)	(597.7924194335938, 559.6094970703125)	(0, 0)
(682.7317504882812, 755.1101684570312)	(598.28857421875, 559.5785522460938)	(0, 0)
(681.81494140625, 754.3401489257812)	(597.1428833007812, 558.3915405273438)	(0, 0)
(676.2489624023438, 753.942626953125)	(593.9568481445312, 556.5455932617188)	(0, 0)
(674.1942138671875, 753.6100463867188)	(594.7052612304688, 555.2103881835938)	(0, 0)
(668.9251098632812, 753.35791015625)	(591.9437866210938, 553.8265991210938)	(0, 0)
(667.59521484375, 752.2076416015625)	(592.8033447265625, 552.2689208984375)	(0, 0)
(669.2874145507812, 751.578857421875)	(597.7595825195312, 552.89404296875)	(0, 0)
(668.2930908203125, 752.255615234375)	(599.552001953125, 554.749755859375)	(0, 0)
(664.186767578125, 751.4515380859375)	(599.3060302734375, 555.8563842773438)	(0, 0)
(658.6604614257812, 750.2230834960938)	(597.5097045898438, 555.9047241210938)	(0, 0)
(655.9996337890625, 748.6996459960938)	(598.1043090820312, 554.2684936523438)	(0, 0)
(651.2020263671875, 749.8633422851562)	(596.8931274414062, 553.9105224609375)	(0, 0)
(651.8045043945312, 748.7811889648438)	(598.9881591796875, 552.9926147460938)	(0, 0)
(652.186767578125, 747.7798461914062)	(602.963134765625, 551.7557373046875)	(0, 0)
(649.9364624023438, 747.1296997070312)	(602.1549072265625, 549.8020629882812)	(0, 0)
(645.2650756835938, 745.5548095703125)	(601.34716796875, 546.5186157226562)	(0, 0)
(636.8396606445312, 743.778076171875)	(597.9290161132812, 542.8045654296875)	(0, 0)
(632.8375244140625, 743.3837890625)	(597.888427734375, 539.037353515625)	(0, 0)
(629.30712890625, 742.6597900390625)	(597.910400390625, 537.0017700195312)	(0, 0)
(626.2249145507812, 741.7755126953125)	(599.299560546875, 535.7020263671875)	(0, 0)
(622.171142578125, 740.7156372070312)	(599.67578125, 533.5734252929688)	(0, 0)
(620.4522705078125, 740.5777587890625)	(603.117919921875, 533.6852416992188)	(0, 0)
(615.8399047851562, 739.4588012695312)	(601.93505859375, 534.6433715820312)	(0, 0)
(612.5888671875, 740.361572265625)	(601.2026977539062, 535.3058471679688)	(0, 0)
(607.5398559570312, 738.9893188476562)	(599.8675537109375, 532.7495727539062)	(0, 0)
(602.361572265625, 739.13671875)	(598.3954467773438, 532.6480102539062)	(0, 0)
(595.9744262695312, 737.8875122070312)	(595.56005859375, 532.658203125)	(0, 0)
(592.6431884765625, 736.4694213867188)	(595.413330078125, 531.9523315429688)	(0, 0)
(589.5075073242188, 735.3760986328125)	(594.8250732421875, 530.74951171875)	(0, 0)
(586.0526733398438, 733.4369506835938)	(593.5387573242188, 529.6676635742188)	(0, 0)
(581.8501586914062, 732.6751098632812)	(592.0541381835938, 528.620849609375)	(0, 0)
(577.9109497070312, 731.8218994140625)	(590.5841674804688, 527.5310668945312)	(0, 0)
(573.023681640625, 730.5121459960938)	(586.7550659179688, 526.2899780273438)	(0, 0)
(568.5518798828125, 727.9207763671875)	(585.5935668945312, 524.5403442382812)	(0, 0)
(562.9725341796875, 726.7237548828125)	(581.9273071289062, 522.3551025390625)	(0, 0)
(559.7116088867188, 726.4204711914062)	(582.1870727539062, 520.8763427734375)	(0, 0)
(555.168212890625, 727.2999267578125)	(581.2219848632812, 521.19482421875)	(0, 0)
(550.3724365234375, 728.436279296875)	(579.8054809570312, 520.1640625)	(0, 0)
(546.6380615234375, 728.3564453125)	(577.6723022460938, 518.699462890625)	(505.08197021484375, 614.570068359375)
(542.9730834960938, 727.1661987304688)	(575.997802734375, 515.6875610351562)	(0, 0)
(539.4950561523438, 723.5357666015625)	(577.6099243164062, 512.519287109375)	(489.24359130859375, 601.452880859375)
(535.302490234375, 721.8818359375)	(576.8128051757812, 510.7700500488281)	(483.0966491699219, 598.1930541992188)
(530.5665893554688, 719.7188720703125)	(576.9828491210938, 508.55841064453125)	(475.6600036621094, 596.4827880859375)
(526.6755981445312, 719.823974609375)	(575.9833374023438, 506.9317626953125)	(468.1446228027344, 593.2305908203125)
(523.04248046875, 719.582275390625)	(574.9915161132812, 504.9977111816406)	(461.8753967285156, 592.0885620117188)
(517.7202758789062, 718.5489501953125)	(574.513671875, 502.671142578125)	(452.0335693359375, 588.9755249023438)
(512.2783203125, 718.6697387695312)	(573.1796264648438, 501.0003662109375)	(442.8676452636719, 587.8859252929688)
(507.47711181640625, 717.0540161132812)	(573.6607666015625, 498.03814697265625)	(435.03009033203125, 585.362060546875)
(504.2781982421875, 716.1211547851562)	(574.160888671875, 495.7687072753906)	(428.5353698730469, 583.94189453125)
(504.2014465332031, 715.6241455078125)	(577.9219970703125, 492.7004699707031)	(423.85858154296875, 580.6339111328125)
(502.29266357421875, 715.075439453125)	(581.1571044921875, 490.0196838378906)	(418.3116455078125, 578.1516723632812)
(499.2339172363281, 715.0367431640625)	(583.8065795898438, 487.86834716796875)	(412.1403503417969, 576.8303833007812)
(495.23504638671875, 714.7800903320312)	(584.5113525390625, 486.50421142578125)	(405.0390625, 576.0790405273438)
(491.07666015625, 715.131103515625)	(586.1145629882812, 485.8661193847656)	(398.0215759277344, 575.9887084960938)
(485.52716064453125, 714.9337768554688)	(586.826416015625, 484.7459716796875)	(389.6426696777344, 574.8531494140625)
(481.1632385253906, 713.0906372070312)	(587.0387573242188, 482.01739501953125)	(380.6651916503906, 571.8992919921875)
(475.9216003417969, 712.539794921875)	(587.6878051757812, 480.5189514160156)	(374.4139099121094, 571.427490234375)
(471.499755859375, 712.5925903320312)	(588.5145874023438, 480.0718994140625)	(367.0025634765625, 570.6455078125)
(465.703857421875, 711.9212646484375)	(588.5514526367188, 476.59417724609375)	(357.99334716796875, 567.33251953125)
(456.9446716308594, 714.4771728515625)	(585.718017578125, 477.93023681640625)	(345.23077392578125, 568.3819580078125)
(452.2333068847656, 715.240966796875)	(585.7465209960938, 478.2024230957031)	(336.8527526855469, 568.187255859375)
(448.31219482421875, 715.8921508789062)	(586.4002075195312, 479.7163391113281)	(329.870361328125, 568.1508178710938)
(447.2987365722656, 712.7308959960938)	(590.6783447265625, 478.1769714355469)	(325.8814392089844, 564.5104370117188)
(444.6564025878906, 711.9595947265625)	(593.1267700195312, 478.7636413574219)	(320.67437744140625, 563.0664672851562)
(442.1089172363281, 711.0206298828125)	(596.10986328125, 479.9002685546875)	(315.8041687011719, 562.1895751953125)
(436.2531433105469, 710.7783203125)	(596.053955078125, 481.7545166015625)	(307.98028564453125, 562.957763671875)
(429.8127136230469, 710.5206909179688)	(594.980712890625, 484.20562744140625)	(298.47015380859375, 562.1416015625)
(424.43450927734375, 710.1612548828125)	(595.3253173828125, 487.8550109863281)	(290.4241027832031, 562.0112915039062)
(418.78424072265625, 710.012451171875)	(594.9955444335938, 490.57501220703125)	(282.76348876953125, 562.10888671875)
(414.1235656738281, 710.0416259765625)	(594.33544921875, 493.2679138183594)	(274.7929382324219, 561.3345336914062)
(410.22674560546875, 710.7416381835938)	(595.099609375, 497.0824890136719)	(268.05328369140625, 560.8035888671875)
(407.700439453125, 708.3529052734375)	(596.0840454101562, 497.85614013671875)	(261.0076599121094, 559.3958129882812)
(403.87640380859375, 706.422119140625)	(595.561767578125, 499.9902038574219)	(252.1842803955078, 557.668212890625)
(398.9298400878906, 705.1321411132812)	(595.236328125, 502.47479248046875)	(242.13958740234375, 557.87109375)
(395.3566589355469, 704.6187744140625)	(596.1116943359375, 506.296142578125)	(235.39662170410156, 557.590576171875)
(390.6328430175781, 703.7257690429688)	(596.2568359375, 509.11138916015625)	(225.40396118164062, 557.181640625)
(387.0259094238281, 702.7013549804688)	(597.5792846679688, 511.6150817871094)	(216.56423950195312, 557.4555053710938)
(382.712890625, 702.3197021484375)	(598.1639404296875, 512.7008666992188)	(209.99200439453125, 558.873779296875)
(377.29827880859375, 701.0834350585938)	(599.32177734375, 513.0928955078125)	(201.38560485839844, 558.73291015625)
(372.14385986328125, 699.9652709960938)	(602.1156616210938, 511.17437744140625)	(190.67616271972656, 559.3239135742188)
(366.5843811035156, 699.6021728515625)	(604.2384033203125, 510.4259033203125)	(181.79881286621094, 561.7822265625)
(361.1429443359375, 699.1820068359375)	(606.9330444335938, 509.5755920410156)	(173.61729431152344, 562.4950561523438)
(356.0169677734375, 699.188720703125)	(608.0328979492188, 509.5323181152344)	(166.7000274658203, 563.9498291015625)
(348.4709167480469, 698.01806640625)	(605.8467407226562, 509.08636474609375)	(154.8139190673828, 565.0744018554688)
(343.25860595703125, 697.1480712890625)	(604.0697631835938, 508.9625244140625)	(146.37051391601562, 566.8899536132812)
(338.9448547363281, 696.298828125)	(600.821044921875, 509.93096923828125)	(139.15931701660156, 569.4822387695312)
(335.4020690917969, 695.8236694335938)	(597.0531005859375, 511.39923095703125)	(132.09669494628906, 571.0602416992188)
(332.2470397949219, 695.8135375976562)	(594.0250244140625, 512.1148071289062)	(125.54032897949219, 573.466796875)
(328.32977294921875, 695.640869140625)	(589.1431274414062, 513.1688232421875)	(116.56024932861328, 575.4234619140625)
(323.9480895996094, 695.5902709960938)	(584.9566650390625, 514.3775634765625)	(107.67110443115234, 578.3383178710938)
(318.3457336425781, 694.4774169921875)	(580.2265014648438, 515.7142944335938)	(98.392822265625, 580.262451171875)
(313.6683654785156, 692.0997924804688)	(575.4769897460938, 516.5757446289062)	(89.6691665649414, 582.5545654296875)
(306.8971862792969, 690.7940673828125)	(569.5043334960938, 516.6347045898438)	(80.67539978027344, 585.896484375)
(302.0489196777344, 690.4169311523438)	(564.132080078125, 516.720703125)	(70.6354751586914, 588.42578125)
(297.284423828125, 689.42626953125)	(558.751708984375, 517.3665161132812)	(59.87904357910156, 591.6429443359375)
(292.98388671875, 690.4855346679688)	(555.7716674804688, 518.6240844726562)	(52.92869567871094, 594.2977294921875)
(288.74420166015625, 689.8517456054688)	(552.2552490234375, 519.558837890625)	(44.68552017211914, 598.3261108398438)
(285.25482177734375, 690.2608032226562)	(548.5326538085938, 521.0380249023438)	(34.45408248901367, 602.6321411132812)
(280.6655578613281, 689.7572021484375)	(543.0435180664062, 522.8135375976562)	(24.50443458557129, 606.9833374023438)
(276.2537841796875, 690.0836791992188)	(537.2625122070312, 524.0917358398438)	(14.16791820526123, 610.2828369140625)
(274.7110290527344, 689.7376098632812)	(531.2495727539062, 524.4756469726562)	(4.613600730895996, 614.5618286132812)
(274.0788879394531, 689.75341796875)	(529.0035400390625, 524.744384765625)	(1.1713500022888184, 616.0451049804688)
(274.2920227050781, 689.5950927734375)	(525.5419311523438, 525.2050170898438)	(-5.018547058105469, 620.2206420898438)
(276.1748046875, 689.8594360351562)	(522.2012939453125, 526.315673828125)	(-11.38152027130127, 624.3272094726562)
(278.344482421875, 690.2412719726562)	(518.1652221679688, 528.9740600585938)	(-20.12299346923828, 629.3950805664062)
(277.25634765625, 689.4357299804688)	(512.1812133789062, 529.1196899414062)	(-30.612518310546875, 633.101318359375)
(275.7109069824219, 689.736083984375)	(506.6382751464844, 530.7998046875)	(-32.62748718261719, 639.244140625)
(275.3348388671875, 686.7982788085938)	(503.4300231933594, 528.3927612304688)	(-31.772626876831055, 641.1602172851562)
(276.9484558105469, 685.1644897460938)	(499.9831237792969, 528.139892578125)	(-27.374357223510742, 642.4203491210938)
(277.5098876953125, 684.89501953125)	(494.062255859375, 528.3668212890625)	(-23.978435516357422, 646.8423461914062)
(278.1121520996094, 684.9568481445312)	(492.31976318359375, 528.3408203125)	(-22.16557502746582, 648.3638305664062)
(278.70977783203125, 685.2365112304688)	(490.90716552734375, 529.1777954101562)	(-17.379850387573242, 652.4473266601562)
(279.56671142578125, 684.6043090820312)	(488.1996765136719, 529.2337036132812)	(-12.174278259277344, 656.7864990234375)
(279.8934631347656, 685.781005859375)	(483.52716064453125, 531.541259765625)	(-7.042527675628662, 661.56396484375)
(280.9397277832031, 685.9601440429688)	(479.8382263183594, 533.0701904296875)	(-2.6938467025756836, 665.6829833984375)
(280.4425354003906, 686.2189331054688)	(473.5941467285156, 535.1309204101562)	(-0.12517008185386658, 670.653564453125)
(280.90020751953125, 687.4490356445312)	(471.39337158203125, 537.6948852539062)	(5.286487102508545, 677.1024780273438)
(280.757568359375, 687.3829345703125)	(466.6468811035156, 539.4108276367188)	(10.887843132019043, 681.3363037109375)
(279.1351623535156, 687.2704467773438)	(462.8121032714844, 539.7643432617188)	(15.81301498413086, 686.23486328125)
(273.5684814453125, 692.239501953125)	(456.2469787597656, 542.7734985351562)	(17.587888717651367, 695.5768432617188)
(271.5826110839844, 694.2080688476562)	(453.9600524902344, 543.8876342773438)	(18.296457290649414, 699.0855102539062)
(266.2574157714844, 694.6170654296875)	(450.8368225097656, 544.39697265625)	(19.18561553955078, 704.0420532226562)
(269.7521057128906, 694.7776489257812)	(455.6060791015625, 544.2201538085938)	(30.747047424316406, 708.8248291015625)
(272.5732727050781, 693.422607421875)	(461.9122009277344, 545.4008178710938)	(43.618370056152344, 711.5479736328125)
(266.9627380371094, 692.5602416992188)	(465.083740234375, 544.2030639648438)	(45.92346954345703, 714.6471557617188)
(265.1129150390625, 692.2706298828125)	(466.8160705566406, 543.5075073242188)	(46.97754669189453, 715.734619140625)
(265.5898742675781, 692.50390625)	(470.5268249511719, 544.0242919921875)	(51.8304328918457, 719.966552734375)
(261.1598815917969, 691.6254272460938)	(466.24603271484375, 543.539794921875)	(51.42985534667969, 722.7894287109375)
(263.23583984375, 691.6597290039062)	(464.3594055175781, 543.5700073242188)	(54.84693908691406, 727.2830810546875)
(272.30413818359375, 694.2019653320312)	(466.591796875, 544.682373046875)	(66.20588684082031, 734.320556640625)
(276.4096984863281, 695.1641845703125)	(468.1103210449219, 545.060546875)	(71.248291015625, 736.7559814453125)
(274.0478820800781, 693.4367065429688)	(464.9738464355469, 544.22509765625)	(71.5092544555664, 739.2427368164062)
(273.5008850097656, 692.6348876953125)	(464.5361022949219, 543.8212280273438)	(73.26309204101562, 742.5345458984375)
(274.0768127441406, 693.5171508789062)	(463.38177490234375, 543.9815063476562)	(77.03274536132812, 747.1370239257812)
(272.8197021484375, 693.0869750976562)	(463.8837890625, 543.480224609375)	(77.02428436279297, 751.4513549804688)
(275.5008544921875, 691.6494750976562)	(469.0682678222656, 542.5806884765625)	(82.4020767211914, 755.116455078125)
(276.4222412109375, 691.1400146484375)	(470.7007141113281, 542.401611328125)	(84.12711334228516, 756.3793334960938)
(273.4499206542969, 691.73046875)	(465.2659912109375, 542.1004028320312)	(83.75232696533203, 758.359375)
(272.33514404296875, 691.8108520507812)	(461.4273376464844, 541.9204711914062)	(86.5763168334961, 761.570556640625)
(271.83856201171875, 691.1866455078125)	(459.5999450683594, 541.206298828125)	(90.52289581298828, 764.3740844726562)
(273.26861572265625, 690.8217163085938)	(460.18084716796875, 539.6736450195312)	(95.5146255493164, 768.2638549804688)
(273.28179931640625, 692.057861328125)	(459.9370422363281, 541.7612915039062)	(101.17333984375, 774.2904052734375)
(272.8213806152344, 692.5732421875)	(459.3732604980469, 542.6441650390625)	(102.66526794433594, 776.5023193359375)
(269.2719421386719, 692.9494018554688)	(459.89593505859375, 544.141845703125)	(105.5365982055664, 780.0460205078125)
(264.8141174316406, 690.978271484375)	(453.81658935546875, 544.001220703125)	(108.64445495605469, 781.7114868164062)
(260.8825988769531, 689.6943359375)	(451.0596618652344, 543.2355346679688)	(111.55815124511719, 784.436279296875)
(256.54449462890625, 687.042724609375)	(447.99334716796875, 541.4300537109375)	(113.26101684570312, 786.130859375)
(252.8292999267578, 684.7815551757812)	(443.3797912597656, 539.950439453125)	(116.81514739990234, 788.1908569335938)
(247.66152954101562, 683.614013671875)	(438.1750183105469, 541.16064453125)	(117.17489624023438, 790.3976440429688)
(244.4658660888672, 683.4223022460938)	(434.5504150390625, 541.3577880859375)	(118.84534454345703, 793.5697021484375)
(241.85426330566406, 683.5001220703125)	(433.2681579589844, 542.5287475585938)	(120.75459289550781, 796.7046508789062)
(236.04678344726562, 684.4837646484375)	(430.3424072265625, 544.5938720703125)	(121.43911743164062, 802.1275634765625)
(233.4236602783203, 685.0682983398438)	(429.0597839355469, 545.6861572265625)	(121.3801498413086, 804.2615356445312)
(236.5716552734375, 686.3051147460938)	(433.2733459472656, 546.8612670898438)	(129.09304809570312, 808.6380004882812)
(239.9305419921875, 688.1593017578125)	(437.6866455078125, 549.6165161132812)	(137.69871520996094, 813.427490234375)
(229.21560668945312, 683.6771240234375)	(433.10113525390625, 547.7874145507812)	(132.6254119873047, 813.2322998046875)
(221.2028045654297, 684.4793090820312)	(430.80987548828125, 549.2113647460938)	(134.15940856933594, 816.5615234375)
(215.43301391601562, 685.3054809570312)	(428.4971008300781, 550.2562255859375)	(135.86668395996094, 823.6055908203125)
(209.31741333007812, 684.103515625)	(431.31829833984375, 550.1226806640625)	(137.16981506347656, 827.7274169921875)
(204.69371032714844, 681.3661499023438)	(433.4202575683594, 549.2587890625)	(141.59854125976562, 829.165771484375)
(204.80337524414062, 680.1715698242188)	(435.7061767578125, 548.9381103515625)	(144.93096923828125, 829.454833984375)
(202.19178771972656, 679.5155029296875)	(438.2288513183594, 548.2496337890625)	(149.55955505371094, 833.6290283203125)
(194.23101806640625, 677.4140625)	(435.3890686035156, 547.11865234375)	(148.13690185546875, 835.8923950195312)
(188.71311950683594, 674.2523193359375)	(435.1239929199219, 546.4254150390625)	(150.40322875976562, 836.563232421875)
(183.25025939941406, 674.2954711914062)	(434.30316162109375, 546.8999633789062)	(155.00762939453125, 840.0264892578125)
(181.2588653564453, 674.2969970703125)	(434.1287841796875, 547.1588134765625)	(156.57264709472656, 841.1537475585938)
(180.1444854736328, 674.7440185546875)	(435.3536376953125, 547.697998046875)	(158.5613250732422, 844.4227905273438)
(174.57839965820312, 675.2113037109375)	(432.9029846191406, 547.92236328125)	(157.27830505371094, 846.354736328125)
(171.60693359375, 675.6188354492188)	(431.6188049316406, 546.40576171875)	(156.99778747558594, 847.876220703125)
(171.15968322753906, 677.5015869140625)	(432.4332580566406, 544.6791381835938)	(159.91554260253906, 849.1709594726562)
(173.31143188476562, 678.9334106445312)	(433.7280578613281, 543.9905395507812)	(163.1687774658203, 850.773681640625)
(171.95440673828125, 682.1370849609375)	(431.9587097167969, 543.6334228515625)	(163.99488830566406, 853.9334106445312)
(170.32864379882812, 684.946044921875)	(431.4446716308594, 544.2832641601562)	(166.4345245361328, 856.77294921875)
(169.94607543945312, 685.8096313476562)	(431.40740966796875, 544.5078125)	(167.26492309570312, 857.5368041992188)
(168.87582397460938, 689.38232421875)	(431.70794677734375, 545.7068481445312)	(167.11761474609375, 861.3297729492188)
(167.16665649414062, 692.8756103515625)	(430.57196044921875, 546.5244140625)	(167.84458923339844, 865.9340209960938)
(163.2250213623047, 696.7521362304688)	(428.9555969238281, 547.8895874023438)	(167.056396484375, 869.1063842773438)
(161.43484497070312, 700.75927734375)	(429.3726806640625, 547.793701171875)	(168.46725463867188, 872.87890625)
(159.84844970703125, 700.2353515625)	(428.4058837890625, 545.6672973632812)	(167.7086181640625, 872.0781860351562)
(159.07986450195312, 700.8751831054688)	(428.4891052246094, 545.4369506835938)	(169.90615844726562, 872.5386352539062)
(158.0019073486328, 700.9046020507812)	(428.36639404296875, 544.7420043945312)	(171.1653594970703, 873.2830200195312)
(153.85678100585938, 704.2216796875)	(424.5130615234375, 544.3917846679688)	(171.0894012451172, 875.71484375)
(152.71298217773438, 706.0626220703125)	(425.4940490722656, 544.8277587890625)	(173.6429901123047, 878.5565185546875)
(152.50259399414062, 706.6917724609375)	(425.7414245605469, 545.0704345703125)	(174.8348388671875, 879.5816040039062)
(152.8179473876953, 709.4547119140625)	(425.68798828125, 547.316162109375)	(177.54600524902344, 883.262451171875)
(147.02511596679688, 709.94970703125)	(424.7392883300781, 547.95947265625)	(177.00816345214844, 886.4075927734375)
(149.70333862304688, 714.2274780273438)	(428.2987976074219, 551.2950439453125)	(182.2575225830078, 890.5220947265625)
(148.1554718017578, 715.591796875)	(431.10443115234375, 552.554931640625)	(184.79283142089844, 893.6962890625)
(140.368896484375, 712.3665771484375)	(427.97845458984375, 548.7525634765625)	(179.23377990722656, 892.759765625)
(137.47972106933594, 711.30419921875)	(426.6963195800781, 547.4437866210938)	(177.06895446777344, 892.4049682617188)
(135.6040802001953, 711.708740234375)	(423.7283020019531, 548.4850463867188)	(178.83473205566406, 893.5369262695312)
(132.0216827392578, 711.5950317382812)	(417.0976867675781, 548.6499633789062)	(180.22146606445312, 896.0643920898438)
(132.61465454101562, 712.2777709960938)	(412.14263916015625, 550.0592041015625)	(182.5859375, 897.1442260742188)
(133.01031494140625, 712.6513061523438)	(409.8361511230469, 550.7024536132812)	(183.54913330078125, 897.5624389648438)
(132.3964080810547, 711.1856689453125)	(407.0863342285156, 551.678466796875)	(183.31187438964844, 895.9832153320312)
(128.47447204589844, 708.9739379882812)	(401.0498962402344, 551.81298828125)	(179.3719482421875, 894.3825073242188)
(127.29267883300781, 707.560302734375)	(400.5158386230469, 552.902587890625)	(179.4614715576172, 894.9150390625)
(126.99278259277344, 706.0637817382812)	(400.1283874511719, 552.9649047851562)	(178.6756591796875, 894.6856079101562)
(127.5345458984375, 705.7058715820312)	(400.3453369140625, 553.0032348632812)	(178.78610229492188, 894.7105102539062)
(125.30980682373047, 706.8572998046875)	(400.64404296875, 557.2747192382812)	(176.82687377929688, 897.9080200195312)
(129.44888305664062, 704.8540649414062)	(405.2097473144531, 557.5864868164062)	(181.0487518310547, 896.9884643554688)
(129.34439086914062, 704.1759033203125)	(405.06414794921875, 557.6329345703125)	(181.81976318359375, 895.7696533203125)
(132.4654541015625, 708.0626220703125)	(407.82220458984375, 561.9261474609375)	(185.2920684814453, 899.5106201171875)
(129.6771240234375, 704.84765625)	(406.85186767578125, 559.621826171875)	(184.3089141845703, 895.9353637695312)
(129.61386108398438, 706.8101196289062)	(405.1134033203125, 563.4218139648438)	(185.9988555908203, 897.8422241210938)
(129.20228576660156, 707.61767578125)	(401.4685974121094, 565.9639892578125)	(186.4522705078125, 899.6316528320312)
(131.0477752685547, 707.6075439453125)	(398.3638610839844, 567.8521728515625)	(188.3824005126953, 900.331298828125)
(132.0327606201172, 707.2976684570312)	(397.57916259765625, 568.2630004882812)	(189.30763244628906, 900.3005981445312)
(131.95912170410156, 709.0591430664062)	(392.51910400390625, 571.2230834960938)	(188.611572265625, 900.8372192382812)
(128.61358642578125, 708.060546875)	(386.4357604980469, 571.9119262695312)	(186.5634002685547, 900.4723510742188)
(130.0924530029297, 707.1592407226562)	(383.65478515625, 571.883544921875)	(189.00411987304688, 900.1546630859375)
(132.1561279296875, 707.065185546875)	(379.7689514160156, 574.1339111328125)	(190.7517547607422, 899.4439697265625)
(135.18325805664062, 708.4099731445312)	(376.19842529296875, 577.4264526367188)	(194.93829345703125, 901.174072265625)
(136.5279998779297, 708.8163452148438)	(375.25311279296875, 578.1661376953125)	(196.6691436767578, 901.8204956054688)
(137.30145263671875, 707.5006713867188)	(373.2932434082031, 578.3935546875)	(198.2342987060547, 900.98779296875)
(134.34596252441406, 708.1468505859375)	(366.9111633300781, 580.6231689453125)	(195.010986328125, 902.0962524414062)
(136.05255126953125, 709.4354858398438)	(362.6651916503906, 586.3411865234375)	(196.7183074951172, 903.53173828125)
(135.0860595703125, 706.693359375)	(358.2711181640625, 587.7744140625)	(197.48558044433594, 901.96875)
(133.2503204345703, 704.07373046875)	(352.7834777832031, 589.6893920898438)	(196.71206665039062, 903.0299682617188)
(132.9396514892578, 703.0176391601562)	(351.0390319824219, 590.2666625976562)	(196.68807983398438, 903.2384033203125)
(134.9745330810547, 703.7891845703125)	(349.5162658691406, 594.4700317382812)	(198.68978881835938, 904.2667236328125)
(136.33863830566406, 698.216064453125)	(346.6100769042969, 595.8353271484375)	(198.13584899902344, 903.564453125)
(138.07069396972656, 691.3511962890625)	(348.3167419433594, 595.02978515625)	(198.4693603515625, 900.0989379882812)
(138.0110321044922, 684.6263427734375)	(348.7273254394531, 595.4918212890625)	(197.98516845703125, 897.864990234375)
(138.75929260253906, 680.9779052734375)	(349.52691650390625, 597.5986328125)	(196.9696807861328, 897.3773803710938)
(138.34471130371094, 676.0637817382812)	(350.807373046875, 598.9835205078125)	(196.68362426757812, 897.3623046875)
(140.6464080810547, 672.2811279296875)	(355.3293762207031, 601.9249267578125)	(198.12429809570312, 899.1437377929688)
(138.67601013183594, 670.8764038085938)	(355.2567138671875, 601.9898681640625)	(195.9982452392578, 899.4271240234375)
(140.54132080078125, 666.2747192382812)	(357.9618225097656, 602.6936645507812)	(196.6090545654297, 899.6119995117188)
(137.46595764160156, 659.1494750976562)	(357.59307861328125, 604.2992553710938)	(192.40191650390625, 899.22607421875)
(137.37631225585938, 651.5093383789062)	(360.62127685546875, 605.506591796875)	(192.85438537597656, 897.41455078125)
(137.7119598388672, 645.0245361328125)	(360.6827392578125, 607.7943115234375)	(193.79769897460938, 895.8588256835938)
